Year,com,ind,cod,em,beta,icr,rf,lr,sz,bmv,np
2019,Tata Consultancy Services Limited,Informational Technology,0.078,675432,0.78,76.21,0.066,0.22,930737,1157188.39,30065
2019,Tata Steel Limited,Materials,0.135,2310000,1.36,4.84,0.066,1.03,65217,43178.79,10533
2019,Bharti Airtel Limited,Telecommunications,0.167,5908,0.59,8.28,0.066,1.88,268316,203362.8,-1869
2019,Sun Pharmaceutical Industries Limited,Healthcare,0.140,65431,0.53,50.6,0.066,0.17,119044,157008.39,817
2019,NTPC Limited,Utilities,0.144,1576387,0.56,3.38,0.066,1.15,135059,100223.3,15591
2019,Gujarat State Fertilizers & Chemicals Limited,Chemical,0.190,3756,1.42,1.6,0.066,1.66,3021,6363434,494
2020,Hindustan Unilever Limited,Consumer,0.110,7999,0.8,32.48,0.058,0.62,630048,646336,6738
2020,Reliance Industries Limited,Energy,0.172,923451,0.78,15.59,0.058,1.56,1502071,44644,30903
2020,InterGlobe Aviation Limited,Aviation,0.230,412132,0.96,4.77,0.058,5.75,74137,65766,-248
2020,Tata Consultancy Services Limited,Informational Technology,0.082,707653,0.85,239.54,0.058,0.03,1201923,68575,33260
2020,Tata Steel Limited,Materials,0.140,2832213,0.82,3.62,0.058,1.73,82401,46464,6744
2020,Bharti Airtel Limited,Telecommunications,0.170,6543,1.07,4.57,0.058,4.14,311113,56464,-36088
2020,Sun Pharmaceutical Industries Limited,Healthcare,0.147,67847,1.32,16.95,0.058,0.47,158971,646464,3211
2020,NTPC Limited,Utilities,0.149,2342671,0.44,6.78,0.058,3.03,109881,747474,5284
2020,Gujarat State Fertilizers & Chemicals Limited,Chemical,0.200,4231,1.01,3.49,0.058,2.23,3456,4664477,99
2021,Hindustan Unilever Limited,Consumer,0.140,8553,0.93,51.23,0.058,0.47,605653,616571,7954
2021,Reliance Industries Limited,Energy,0.180,976581,1.07,14.63,0.058,1.14,1761554,1343797,31944
2021,InterGlobe Aviation Limited,Aviation,0.220,409876,1.24,-14.14,0.058,0.82,85430,39000,-5830
2021,Tata Consultancy Services Limited,Informational Technology,0.090,40006,0.76,177.33,0.058,0.1,1520144,1169219,30960
2021,Tata Steel Limited,Materials,0.147,705432,1.04,5.67,0.058,1.46,151631,57128,17078
2021,Bharti Airtel Limited,Telecommunications,0.172,69890,0.79,12.95,0.058,1.27,442039,303141,-25198
2021,Sun Pharmaceutical Industries Limited,Healthcare,0.150,67896,0.79,14.27,0.058,0.44,223065,184277,2140
2021,NTPC Limited,Utilities,0.151,3267891,0.73,6.35,0.058,1.04,132544,105679,11990
2021,Gujarat State Fertilizers & Chemicals Limited,Chemical,0.190,4756,0.9,3.87,0.058,1.25,4889,9042,418
